"Index","X1.mo","X3.mo","X6.mo","X1.yr","X2.yr","X3.yr","X5.yr","X7.yr","X10.yr","X20.yr","X30.yr"
"2009-04-06",0.16,0.2,0.4,0.6,0.94,1.37,1.9,2.55,2.95,3.82,3.73
"2009-04-13",0.12,0.18,0.37,0.57,0.89,1.27,1.81,2.39,2.88,3.78,3.69
"2009-04-20",0.04,0.14,0.34,0.54,0.93,1.27,1.82,2.39,2.88,3.8,3.69
"2009-04-27",0.07,0.13,0.3,0.49,0.9,1.31,1.87,2.48,2.95,3.92,3.84
"2009-05-04",0.14,0.19,0.33,0.52,0.94,1.4,2.03,2.7,3.19,4.11,4.06
"2009-05-11",0.16,0.19,0.3,0.53,0.92,1.34,2.04,2.67,3.17,4.15,4.18
"2009-05-18",0.12,0.19,0.3,0.5,0.93,1.36,2.09,2.73,3.22,4.16,4.18
"2009-05-22",0.13,0.18,0.3,0.49,0.92,1.39,2.23,2.96,3.45,4.36,4.38
"2009-06-01",0.13,0.13,0.29,0.48,0.97,1.52,2.55,3.28,3.71,4.56,4.55
"2009-06-08",0.08,0.19,0.35,0.62,1.42,2,2.95,3.6,3.91,4.66,4.65
"2009-06-15",0.08,0.17,0.29,0.51,1.26,1.84,2.75,3.39,3.76,4.58,4.61
"2009-06-22",0.12,0.2,0.34,0.5,1.17,1.77,2.75,3.37,3.72,4.45,4.45
"2009-06-29",0.11,0.2,0.36,0.51,1.11,1.63,2.53,3.18,3.51,4.29,4.31
"2009-07-06",0.15,0.19,0.28,0.48,0.96,1.48,2.4,3.12,3.52,4.29,4.35
"2009-07-13",0.15,0.18,0.28,0.47,0.92,1.41,2.27,2.94,3.38,4.21,4.25
"2009-07-20",0.15,0.19,0.28,0.47,0.99,1.54,2.46,3.14,3.61,4.45,4.47
"2009-07-27",0.15,0.19,0.27,0.49,1.08,1.63,2.63,3.31,3.75,4.6,4.62
"2009-08-03",0.15,0.19,0.28,0.48,1.18,1.72,2.66,3.3,3.66,4.4,4.42
"2009-08-10",0.15,0.19,0.29,0.49,1.24,1.79,2.75,3.4,3.8,4.49,4.52
"2009-08-17",0.11,0.18,0.27,0.45,1.04,1.54,2.43,3.09,3.48,4.26,4.33
"2009-08-24",0.11,0.17,0.26,0.44,1.05,1.57,2.5,3.13,3.48,4.22,4.27
"2009-08-31",0.11,0.15,0.24,0.43,0.97,1.49,2.39,3.03,3.4,4.14,4.18
"2009-09-04",0.09,0.14,0.23,0.42,0.94,1.46,2.36,3.06,3.45,4.21,4.27
"2009-09-14",0.08,0.14,0.21,0.4,0.94,1.46,2.37,3.01,3.42,4.16,4.22
"2009-09-21",0.05,0.11,0.2,0.4,1.02,1.56,2.47,3.11,3.49,4.2,4.23
"2009-09-28",0.03,0.11,0.18,0.4,0.98,1.47,2.33,2.95,3.31,4.02,4.04
"2009-10-05",0.04,0.08,0.15,0.36,0.88,1.38,2.21,2.82,3.24,3.98,4.01
"2009-10-09",0.04,0.07,0.16,0.38,0.98,1.5,2.36,2.98,3.4,4.2,4.22
"2009-10-19",0.06,0.08,0.18,0.38,0.99,1.5,2.36,2.98,3.41,4.19,4.21
"2009-10-26",0.04,0.08,0.18,0.41,1.06,1.61,2.53,3.17,3.59,4.35,4.37
"2009-11-02",0.03,0.06,0.17,0.38,0.92,1.44,2.33,3,3.45,4.22,4.26
"2009-11-09",0.06,0.07,0.17,0.34,0.87,1.4,2.31,3.01,3.52,4.34,4.4
"2009-11-16",0.05,0.07,0.17,0.31,0.78,1.28,2.19,2.87,3.33,4.18,4.26
"2009-11-23",0.05,0.05,0.14,0.29,0.77,1.28,2.2,2.9,3.37,4.2,4.29
"2009-11-30",0.08,0.06,0.15,0.27,0.67,1.12,2.01,2.69,3.21,4.07,4.2
"2009-12-07",0.07,0.04,0.16,0.32,0.78,1.26,2.19,2.92,3.44,4.29,4.4
"2009-12-14",0.02,0.04,0.16,0.37,0.87,1.35,2.3,3.04,3.56,4.39,4.49
"2009-12-21",0.01,0.08,0.17,0.4,0.89,1.42,2.43,3.18,3.69,4.47,4.56
"2009-12-28",0.03,0.11,0.2,0.47,1.09,1.63,2.62,3.34,3.85,4.61,4.69
"2010-01-04",0.05,0.08,0.18,0.45,1.09,1.66,2.65,3.36,3.85,4.6,4.65
"2010-01-11",0.01,0.04,0.13,0.35,0.95,1.55,2.58,3.32,3.85,4.64,4.74
"2010-01-15",0.03,0.06,0.15,0.33,0.89,1.44,2.44,3.17,3.7,4.48,4.58
"2010-01-25",0.02,0.06,0.14,0.3,0.86,1.4,2.39,3.12,3.66,4.42,4.55
"2010-02-01",0.05,0.1,0.17,0.33,0.86,1.41,2.38,3.12,3.68,4.43,4.56
"2010-02-08",0.04,0.12,0.17,0.32,0.79,1.3,2.26,3.03,3.62,4.38,4.52
"2010-02-12",0.04,0.1,0.18,0.35,0.84,1.38,2.35,3.11,3.69,4.52,4.66
"2010-02-22",0.06,0.11,0.19,0.37,0.91,1.48,2.47,3.25,3.8,4.6,4.73
"2010-03-01",0.09,0.13,0.19,0.32,0.8,1.34,2.28,3.04,3.61,4.41,4.56
"2010-03-08",0.11,0.16,0.21,0.39,0.9,1.43,2.36,3.13,3.72,4.52,4.68
"2010-03-15",0.12,0.17,0.24,0.4,0.96,1.49,2.42,3.15,3.71,4.48,4.63
"2010-03-22",0.13,0.15,0.24,0.41,1.01,1.54,2.43,3.12,3.67,4.41,4.57
"2010-03-29",0.11,0.15,0.24,0.42,1.04,1.65,2.6,3.32,3.88,4.61,4.76
"2010-04-05",0.16,0.18,0.27,0.48,1.18,1.77,2.75,3.46,4.01,4.69,4.85
"2010-04-12",0.15,0.16,0.24,0.46,1.07,1.65,2.6,3.29,3.87,4.54,4.7
"2010-04-19",0.15,0.16,0.23,0.43,1.01,1.59,2.54,3.25,3.83,4.54,4.7
"2010-04-26",0.14,0.16,0.25,0.47,1.09,1.67,2.6,3.28,3.83,4.5,4.67
"2010-05-03",0.14,0.17,0.25,0.43,1,1.56,2.47,3.16,3.72,4.37,4.53
"2010-05-10",0.13,0.16,0.22,0.39,0.87,1.4,2.27,2.98,3.57,4.23,4.41
"2010-05-17",0.16,0.16,0.23,0.36,0.81,1.3,2.2,2.9,3.47,4.17,4.35
"2010-05-24",0.16,0.17,0.23,0.35,0.77,1.21,2.04,2.69,3.23,3.96,4.12
"2010-05-28",0.15,0.16,0.22,0.34,0.76,1.26,2.1,2.75,3.31,4.05,4.22
"2010-06-07",0.1,0.12,0.21,0.35,0.74,1.17,1.95,2.62,3.17,3.93,4.11
"2010-06-14",0.02,0.07,0.15,0.31,0.77,1.23,2.07,2.73,3.28,4.02,4.2
"2010-06-21",0.05,0.12,0.17,0.29,0.74,1.21,2.05,2.72,3.26,3.99,4.17
"2010-06-28",0.07,0.17,0.22,0.3,0.62,1.03,1.83,2.49,3.05,3.82,4.01
"2010-07-02",0.16,0.17,0.22,0.31,0.63,1.04,1.82,2.46,3,3.77,3.94
"2010-07-12",0.16,0.16,0.2,0.3,0.65,1.06,1.85,2.51,3.08,3.86,4.05
"2010-07-19",0.15,0.17,0.2,0.28,0.61,0.95,1.73,2.4,2.99,3.78,3.99
"2010-07-26",0.15,0.16,0.2,0.29,0.62,0.97,1.76,2.45,3.03,3.82,4.03
"2010-08-02",0.14,0.16,0.2,0.28,0.56,0.85,1.64,2.35,2.99,3.82,4.06
"2010-08-09",0.14,0.15,0.19,0.26,0.54,0.81,1.54,2.21,2.86,3.73,4.01
"2010-08-16",0.15,0.16,0.19,0.25,0.51,0.76,1.4,2,2.58,3.42,3.72
"2010-08-23",0.15,0.16,0.19,0.25,0.49,0.76,1.43,2.04,2.6,3.37,3.65
"2010-08-30",0.16,0.14,0.19,0.26,0.5,0.75,1.39,1.98,2.54,3.3,3.6
"2010-09-03",0.15,0.14,0.19,0.25,0.52,0.81,1.49,2.14,2.72,3.49,3.79
"2010-09-13",0.1,0.15,0.19,0.26,0.53,0.82,1.51,2.15,2.74,3.52,3.83
"2010-09-20",0.12,0.17,0.2,0.26,0.47,0.73,1.43,2.1,2.72,3.57,3.87
"2010-09-27",0.08,0.16,0.19,0.26,0.44,0.66,1.31,1.92,2.54,3.4,3.7
"2010-10-04",0.15,0.13,0.19,0.26,0.41,0.62,1.23,1.86,2.5,3.39,3.71
"2010-10-08",0.14,0.12,0.16,0.21,0.35,0.54,1.11,1.75,2.41,3.39,3.75
"2010-10-18",0.14,0.15,0.18,0.23,0.38,0.55,1.14,1.81,2.52,3.57,3.93
"2010-10-25",0.13,0.14,0.18,0.23,0.37,0.55,1.2,1.89,2.59,3.56,3.91
"2010-11-01",0.14,0.13,0.16,0.22,0.34,0.5,1.17,1.9,2.66,3.66,4.01
"2010-11-08",0.12,0.13,0.16,0.22,0.41,0.59,1.13,1.78,2.6,3.7,4.12
"2010-11-15",0.12,0.14,0.19,0.29,0.53,0.81,1.51,2.16,2.92,4.01,4.38
"2010-11-22",0.12,0.15,0.2,0.26,0.49,0.72,1.44,2.11,2.8,3.85,4.2
"2010-11-29",0.16,0.18,0.21,0.28,0.52,0.77,1.51,2.19,2.84,3.83,4.16
"2010-12-06",0.14,0.15,0.19,0.26,0.42,0.73,1.53,2.26,2.95,3.94,4.25
"2010-12-13",0.1,0.15,0.19,0.29,0.61,0.98,1.91,2.64,3.29,4.15,4.39
"2010-12-20",0.04,0.14,0.19,0.3,0.62,1.01,1.99,2.72,3.36,4.21,4.44
"2010-12-27",0.06,0.17,0.22,0.32,0.71,1.11,2.08,2.76,3.36,4.2,4.42
"2011-01-03",0.11,0.15,0.19,0.29,0.61,1.03,2.02,2.74,3.36,4.18,4.39
"2011-01-10",0.14,0.15,0.18,0.29,0.59,0.99,1.93,2.65,3.32,4.23,4.47
"2011-01-14",0.14,0.15,0.18,0.27,0.59,1,1.95,2.66,3.35,4.27,4.53
"2011-01-24",0.15,0.16,0.18,0.28,0.65,1.05,2.03,2.76,3.43,4.31,4.55
"2011-01-31",0.15,0.15,0.17,0.26,0.58,0.98,1.95,2.71,3.42,4.33,4.58
"2011-02-07",0.13,0.16,0.18,0.31,0.78,1.28,2.29,3.03,3.68,4.5,4.71
"2011-02-14",0.09,0.13,0.17,0.3,0.87,1.41,2.37,3.04,3.62,4.46,4.67
"2011-02-18",0.08,0.1,0.15,0.28,0.78,1.32,2.3,2.99,3.59,4.46,4.7
"2011-02-28",0.13,0.15,0.18,0.25,0.69,1.18,2.13,2.82,3.42,4.25,4.49
"2011-03-07",0.1,0.11,0.16,0.25,0.7,1.22,2.19,2.9,3.51,4.36,4.61
"2011-03-14",0.05,0.09,0.14,0.22,0.61,1.07,2,2.7,3.36,4.25,4.52
"2011-03-21",0.06,0.1,0.16,0.25,0.67,1.12,2.04,2.72,3.34,4.2,4.45
"2011-03-28",0.04,0.11,0.18,0.3,0.81,1.29,2.23,2.89,3.47,4.28,4.51
"2011-04-04",0.02,0.06,0.13,0.24,0.77,1.24,2.2,2.86,3.45,4.27,4.49
"2011-04-11",0.02,0.05,0.12,0.26,0.85,1.35,2.31,2.98,3.59,4.42,4.64
"2011-04-18",0.03,0.07,0.11,0.24,0.69,1.14,2.09,2.77,3.4,4.22,4.45
"2011-04-25",0.03,0.07,0.12,0.23,0.67,1.13,2.1,2.76,3.39,4.22,4.46
"2011-05-02",0.02,0.05,0.1,0.22,0.61,1.01,1.96,2.66,3.31,4.14,4.38
"2011-05-09",0.01,0.03,0.07,0.17,0.57,0.94,1.84,2.51,3.17,4.03,4.3
"2011-05-16",0.02,0.04,0.07,0.18,0.54,0.93,1.83,2.5,3.15,3.99,4.28
"2011-05-23",0.03,0.06,0.1,0.2,0.55,0.91,1.8,2.47,3.13,3.97,4.27
"2011-05-27",0.04,0.05,0.11,0.18,0.48,0.81,1.71,2.39,3.07,3.94,4.24
"2011-06-06",0.03,0.05,0.1,0.18,0.43,0.74,1.6,2.29,3.01,3.92,4.25
"2011-06-13",0.02,0.05,0.11,0.18,0.4,0.72,1.59,2.3,3,3.89,4.2
"2011-06-20",0.02,0.03,0.1,0.18,0.38,0.68,1.55,2.25,2.97,3.87,4.19
"2011-06-27",0.01,0.02,0.1,0.18,0.41,0.64,1.47,2.19,2.95,3.94,4.28
"2011-07-01",0.01,0.02,0.1,0.2,0.5,0.85,1.8,2.54,3.22,4.12,4.4
"2011-07-11",0.02,0.03,0.07,0.17,0.37,0.64,1.49,2.22,2.94,3.88,4.2
"2011-07-18",0.01,0.02,0.06,0.15,0.37,0.62,1.45,2.18,2.94,3.95,4.29
"2011-07-25",0.05,0.05,0.1,0.2,0.42,0.69,1.55,2.29,3.03,3.98,4.31
"2011-08-01",0.13,0.1,0.16,0.22,0.38,0.55,1.32,2.05,2.77,3.72,4.07
"2011-08-08",0.02,0.05,0.07,0.12,0.27,0.45,1.11,1.75,2.4,3.31,3.68
"2011-08-15",0,0.02,0.08,0.12,0.19,0.34,0.99,1.6,2.29,3.29,3.75
"2011-08-22",0.01,0.01,0.04,0.09,0.22,0.37,0.94,1.47,2.1,3,3.42
"2011-08-29",0,0.02,0.05,0.09,0.2,0.35,0.99,1.6,2.28,3.22,3.63
"2011-09-02",0.02,0.02,0.05,0.1,0.2,0.33,0.88,1.41,2.02,2.92,3.32
"2011-09-12",0.01,0.01,0.05,0.11,0.21,0.35,0.87,1.38,1.94,2.84,3.24
"2011-09-19",0,0.01,0.04,0.08,0.16,0.29,0.85,1.4,1.97,2.84,3.22
"2011-09-26",0,0.02,0.03,0.1,0.25,0.39,0.92,1.41,1.91,2.69,2.99
"2011-10-03",0.01,0.02,0.06,0.12,0.24,0.39,0.87,1.33,1.8,2.51,2.76
"2011-10-07",0.01,0.01,0.04,0.11,0.3,0.5,1.08,1.61,2.1,2.78,3.02
"2011-10-17",0.02,0.04,0.06,0.12,0.28,0.48,1.08,1.65,2.18,2.88,3.13
"2011-10-24",0.01,0.02,0.06,0.11,0.3,0.47,1.1,1.7,2.25,3,3.27
"2011-10-31",0.02,0.01,0.06,0.12,0.25,0.41,0.99,1.58,2.17,2.89,3.16
"2011-11-07",0.01,0.01,0.04,0.09,0.25,0.38,0.88,1.44,2.04,2.77,3.05
"2011-11-14",0.01,0.01,0.04,0.09,0.24,0.39,0.91,1.46,2.04,2.77,3.09
"2011-11-21",0.02,0.02,0.05,0.11,0.27,0.41,0.92,1.45,1.97,2.65,2.96
"2011-11-28",0.02,0.03,0.07,0.13,0.26,0.39,0.91,1.44,1.97,2.63,2.93
"2011-12-05",0.01,0.01,0.05,0.11,0.27,0.4,0.93,1.49,2.04,2.73,3.02
"2011-12-12",0,0.01,0.05,0.1,0.24,0.36,0.87,1.45,2.03,2.75,3.06
"2011-12-19",0,0.01,0.04,0.11,0.24,0.36,0.82,1.3,1.82,2.48,2.79
"2011-12-23",0,0.01,0.04,0.12,0.28,0.45,0.97,1.49,2.03,2.73,3.05
"2011-12-30",0.01,0.02,0.06,0.12,0.25,0.36,0.83,1.35,1.89,2.57,2.89
"2012-01-09",0.01,0.01,0.05,0.11,0.26,0.38,0.85,1.39,1.98,2.7,3.02
"2012-01-13",0.02,0.03,0.06,0.1,0.24,0.34,0.8,1.32,1.89,2.59,2.91
"2012-01-23",0.03,0.04,0.07,0.12,0.26,0.39,0.93,1.51,2.09,2.82,3.15
"2012-01-30",0.05,0.05,0.08,0.12,0.22,0.31,0.73,1.27,1.87,2.64,2.99
"2012-02-06",0.04,0.08,0.1,0.14,0.24,0.32,0.76,1.32,1.93,2.71,3.08
"2012-02-13",0.06,0.11,0.14,0.15,0.29,0.4,0.85,1.4,1.99,2.78,3.14
"2012-02-17",0.03,0.09,0.13,0.18,0.29,0.42,0.88,1.43,2.01,2.8,3.16
"2012-02-27",0.08,0.12,0.14,0.17,0.3,0.4,0.84,1.35,1.92,2.69,3.04
"2012-03-05",0.07,0.08,0.14,0.17,0.31,0.43,0.87,1.4,2,2.78,3.13
"2012-03-12",0.05,0.09,0.15,0.18,0.33,0.47,0.92,1.43,2.04,2.82,3.17
"2012-03-19",0.07,0.1,0.15,0.21,0.39,0.6,1.2,1.77,2.39,3.14,3.48
"2012-03-26",0.06,0.09,0.15,0.19,0.36,0.54,1.09,1.65,2.26,3,3.33
"2012-04-02",0.05,0.08,0.14,0.18,0.33,0.5,1.03,1.6,2.22,3,3.35
"2012-04-09",0.07,0.09,0.15,0.19,0.32,0.46,0.9,1.42,2.06,2.82,3.18
"2012-04-16",0.07,0.08,0.14,0.18,0.27,0.42,0.85,1.37,2,2.75,3.12
"2012-04-23",0.04,0.08,0.13,0.17,0.27,0.39,0.83,1.34,1.96,2.71,3.08
"2012-04-30",0.07,0.1,0.15,0.2,0.27,0.38,0.82,1.33,1.95,2.73,3.12
"2012-05-07",0.06,0.1,0.15,0.18,0.27,0.37,0.79,1.29,1.92,2.67,3.07
"2012-05-14",0.07,0.1,0.15,0.19,0.29,0.37,0.73,1.2,1.78,2.53,2.95
"2012-05-21",0.06,0.09,0.14,0.21,0.3,0.41,0.75,1.18,1.75,2.42,2.8
"2012-05-25",0.07,0.09,0.14,0.2,0.3,0.41,0.76,1.17,1.75,2.44,2.85
"2012-06-04",0.04,0.08,0.13,0.18,0.25,0.35,0.68,1.01,1.53,2.17,2.56
"2012-06-11",0.05,0.09,0.15,0.18,0.27,0.37,0.69,1.05,1.6,2.3,2.71
"2012-06-18",0.06,0.1,0.15,0.18,0.29,0.38,0.69,1.06,1.59,2.28,2.67
"2012-06-25",0.06,0.1,0.16,0.19,0.31,0.39,0.72,1.1,1.63,2.31,2.69
"2012-07-02",0.06,0.1,0.15,0.21,0.3,0.39,0.67,1.04,1.61,2.3,2.69
"2012-07-09",0.06,0.09,0.14,0.2,0.27,0.36,0.63,0.98,1.53,2.24,2.62
"2012-07-16",0.04,0.1,0.14,0.18,0.24,0.31,0.6,0.97,1.5,2.18,2.56
"2012-07-23",0.07,0.1,0.14,0.17,0.22,0.28,0.57,0.93,1.47,2.15,2.52
"2012-07-30",0.06,0.11,0.15,0.18,0.23,0.31,0.61,0.99,1.53,2.22,2.58
"2012-08-06",0.05,0.1,0.14,0.16,0.24,0.33,0.65,1.05,1.59,2.29,2.65
"2012-08-13",0.1,0.11,0.15,0.19,0.27,0.36,0.71,1.12,1.65,2.37,2.74
"2012-08-20",0.09,0.11,0.14,0.19,0.29,0.41,0.8,1.26,1.82,2.55,2.93
"2012-08-27",0.1,0.11,0.14,0.18,0.28,0.37,0.7,1.11,1.65,2.38,2.76
"2012-08-31",0.09,0.09,0.14,0.16,0.22,0.3,0.59,1.01,1.57,2.29,2.68
"2012-09-10",0.09,0.1,0.14,0.18,0.25,0.33,0.66,1.1,1.68,2.43,2.83
"2012-09-17",0.06,0.11,0.13,0.18,0.25,0.36,0.73,1.22,1.85,2.64,3.03
"2012-09-24",0.03,0.11,0.14,0.18,0.27,0.35,0.68,1.12,1.74,2.53,2.91
"2012-10-01",0.05,0.09,0.14,0.17,0.25,0.31,0.62,1.04,1.64,2.41,2.81
"2012-10-05",0.1,0.11,0.15,0.18,0.27,0.34,0.67,1.12,1.75,2.55,2.96
"2012-10-15",0.1,0.11,0.15,0.19,0.27,0.34,0.67,1.09,1.7,2.45,2.85
"2012-10-22",0.1,0.1,0.15,0.19,0.32,0.42,0.79,1.25,1.83,2.57,2.95
"2012-10-29",0.13,0.14,0.16,0.18,0.3,0.4,0.74,1.16,1.74,2.48,2.87
"2012-11-05",0.09,0.11,0.15,0.19,0.28,0.38,0.7,1.13,1.72,2.47,2.88
"2012-11-09",0.13,0.09,0.15,0.18,0.27,0.35,0.65,1.04,1.61,2.34,2.75
"2012-11-19",0.06,0.09,0.14,0.16,0.25,0.33,0.64,1.04,1.61,2.34,2.76
"2012-11-26",0.14,0.1,0.15,0.17,0.27,0.36,0.68,1.09,1.66,2.39,2.8
"2012-12-03",0.13,0.1,0.14,0.18,0.25,0.34,0.63,1.05,1.63,2.37,2.8
"2012-12-10",0.05,0.09,0.14,0.18,0.24,0.33,0.62,1.04,1.63,2.38,2.8
"2012-12-17",0.01,0.05,0.1,0.13,0.25,0.37,0.74,1.2,1.78,2.53,2.94
"2012-12-24",0.03,0.06,0.11,0.16,0.26,0.38,0.77,1.22,1.79,2.53,2.94
"2012-12-31",0.02,0.05,0.11,0.16,0.25,0.36,0.72,1.18,1.78,2.54,2.95
"2013-01-07",0.05,0.07,0.11,0.15,0.27,0.41,0.82,1.31,1.92,2.7,3.1
"2013-01-14",0.05,0.08,0.11,0.14,0.26,0.37,0.78,1.27,1.89,2.65,3.05
"2013-01-18",0.04,0.08,0.1,0.14,0.26,0.38,0.77,1.26,1.87,2.63,3.03
"2013-01-28",0.03,0.07,0.11,0.16,0.29,0.45,0.89,1.38,2,2.76,3.15
"2013-02-04",0.03,0.07,0.11,0.15,0.25,0.38,0.85,1.36,2,2.79,3.17
"2013-02-11",0.05,0.09,0.12,0.15,0.27,0.4,0.85,1.35,1.99,2.78,3.16
"2013-02-15",0.09,0.1,0.13,0.17,0.29,0.42,0.87,1.38,2.01,2.8,3.18
"2013-02-25",0.09,0.12,0.14,0.16,0.25,0.37,0.78,1.25,1.88,2.69,3.08
"2013-03-04",0.07,0.11,0.12,0.16,0.24,0.35,0.76,1.25,1.88,2.7,3.08
"2013-03-11",0.09,0.1,0.12,0.15,0.27,0.43,0.9,1.43,2.07,2.89,3.26
"2013-03-18",0.07,0.07,0.11,0.15,0.26,0.38,0.81,1.31,1.96,2.79,3.18
"2013-03-25",0.06,0.08,0.11,0.14,0.24,0.38,0.8,1.28,1.93,2.76,3.14
"2013-04-01",0.06,0.08,0.11,0.14,0.23,0.36,0.76,1.23,1.86,2.7,3.08
"2013-04-08",0.05,0.07,0.1,0.13,0.24,0.34,0.71,1.15,1.76,2.54,2.91
"2013-04-15",0.04,0.06,0.09,0.12,0.22,0.32,0.69,1.12,1.72,2.5,2.88
"2013-04-22",0.04,0.05,0.09,0.12,0.24,0.35,0.7,1.13,1.72,2.5,2.88
"2013-04-29",0.03,0.05,0.08,0.12,0.2,0.32,0.68,1.1,1.7,2.49,2.88
"2013-05-06",0.01,0.04,0.08,0.11,0.22,0.34,0.74,1.19,1.8,2.6,2.98
"2013-05-13",0.02,0.05,0.08,0.13,0.24,0.4,0.83,1.3,1.92,2.73,3.13
"2013-05-20",0.01,0.05,0.09,0.12,0.26,0.4,0.85,1.33,1.97,2.79,3.18
"2013-05-24",0.03,0.04,0.07,0.12,0.26,0.41,0.9,1.39,2.01,2.8,3.18
"2013-06-03",0.03,0.05,0.08,0.14,0.3,0.5,1.03,1.53,2.13,2.92,3.27
"2013-06-10",0.04,0.05,0.08,0.14,0.32,0.55,1.13,1.62,2.22,3.03,3.36
"2013-06-17",0.05,0.05,0.08,0.13,0.27,0.49,1.06,1.57,2.19,3.01,3.35
"2013-06-24",0.01,0.06,0.11,0.16,0.42,0.73,1.48,2.02,2.57,3.27,3.56
"2013-07-01",0.01,0.04,0.09,0.15,0.34,0.65,1.39,1.93,2.5,3.19,3.48
"2013-07-08",0.02,0.05,0.07,0.14,0.37,0.71,1.51,2.11,2.65,3.35,3.63
"2013-07-15",0.02,0.04,0.07,0.11,0.34,0.66,1.4,1.97,2.57,3.3,3.61
"2013-07-22",0.01,0.04,0.07,0.1,0.32,0.59,1.32,1.9,2.5,3.25,3.55
"2013-07-29",0.01,0.03,0.07,0.11,0.33,0.61,1.37,2,2.61,3.35,3.66
"2013-08-05",0.03,0.05,0.08,0.12,0.32,0.61,1.39,2.04,2.67,3.42,3.73
"2013-08-12",0.05,0.06,0.08,0.12,0.32,0.62,1.39,2.01,2.61,3.39,3.67
"2013-08-19",0.03,0.06,0.08,0.13,0.36,0.76,1.63,2.29,2.88,3.64,3.89
"2013-08-26",0.03,0.04,0.07,0.13,0.41,0.79,1.61,2.23,2.79,3.52,3.77
"2013-08-30",0.02,0.03,0.05,0.13,0.39,0.79,1.62,2.24,2.78,3.46,3.7
"2013-09-09",0.02,0.02,0.04,0.12,0.45,0.87,1.71,2.34,2.9,3.6,3.84
"2013-09-16",0.01,0.02,0.04,0.13,0.41,0.8,1.65,2.27,2.88,3.61,3.87
"2013-09-23",0.01,0.02,0.05,0.1,0.35,0.68,1.48,2.1,2.72,3.46,3.73
"2013-09-30",0.03,0.02,0.04,0.1,0.33,0.63,1.39,2.02,2.64,3.41,3.69
"2013-10-07",0.13,0.03,0.06,0.12,0.37,0.66,1.41,2.03,2.65,3.41,3.7
"2013-10-11",0.25,0.08,0.07,0.14,0.35,0.66,1.42,2.07,2.7,3.45,3.74
"2013-10-21",0.02,0.04,0.07,0.11,0.33,0.63,1.38,2.01,2.63,3.39,3.68
"2013-10-28",0.02,0.04,0.08,0.11,0.32,0.59,1.31,1.91,2.54,3.31,3.61
"2013-11-04",0.02,0.05,0.09,0.09,0.32,0.6,1.36,2.01,2.63,3.4,3.7
"2013-11-08",0.04,0.06,0.09,0.12,0.32,0.62,1.42,2.12,2.77,3.55,3.84
"2013-11-18",0.05,0.09,0.1,0.13,0.31,0.56,1.33,2.02,2.67,3.46,3.76
"2013-11-25",0.04,0.08,0.11,0.14,0.3,0.57,1.37,2.08,2.74,3.53,3.83
"2013-12-02",0.02,0.05,0.1,0.13,0.3,0.59,1.43,2.16,2.81,3.58,3.86
"2013-12-09",0.04,0.07,0.1,0.13,0.3,0.64,1.5,2.23,2.86,3.61,3.88
"2013-12-16",0.02,0.07,0.09,0.13,0.34,0.68,1.55,2.26,2.89,3.63,3.9
"2013-12-23",0.01,0.07,0.09,0.14,0.38,0.77,1.68,2.37,2.94,3.6,3.85
